Country,Region,HappinessRank_2016,HappinessScore_2016,Economy_2016,Family_2016,Health_2016,Freedom_2016,Trust_2016,Generosity_2016,HappinessRank_2015,HappinessScore_2015,Economy_2015,Family_2015,Health_2015,Freedom_2015,Trust_2015,Generosity_2015,HappinessRank_2017,HappinessScore_2017,Economy_2017,Family_2017,Health_2017,Freedom_2017,Generosity_2017,Trust_2017,HappinessRank_2018,HappinessScore_2018,Economy_2018,Family_2018,Health_2018,Freedom_2018,Generosity_2018,HappinessRank_2019,HappinessScore_2019,Economy_2019,Family_2019,Health_2019,Freedom_2019,Generosity_2019,HappinessRank_2020,HappinessScore_2020,Economy_2020,Family_2020,Health_2020,Freedom_2020,Generosity_2020,HappinessRank_2021,HappinessScore_2021,Economy_2021,Family_2021,Health_2021,Freedom_2021,Generosity_2021,HappinessRank_2022,HappinessScore_2022,Economy_2022,Family_2022,Health_2022,Freedom_2022,Generosity_2022
Mozambique,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,4.550000191,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,123,4.417,0.198,0.902,0.173,0.531,0.206,123,4.466,0.204,0.986,0.39,0.494,0.197,120,4.623600006,0.706934595,0.723874032,0.723009186,0.864451885,0.032375868,115,4.794,0.7158,0.744,0.54706,0.882,0.061,101,5.048,0.578,0.66,0.191,0.191,0.191
Myanmar,Southeastern Asia,119,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,130,4.308,0.682,1.174,0.429,0.58,0.598,131,4.36,0.71,1.181,0.555,0.525,0.566,133,4.308000088,0.868048191,0.78440702,0.732026291,0.895075202,0.560663998,126,4.426,0.8541,0.779,0.59302,0.876,0.509,126,4.394,1.038,0.829,0.491,0.491,0.491
Namibia,Sub-Saharan Africa,113,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,111,4.573999882,0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,0.093146972,119,4.441,0.874,1.281,0.365,0.519,0.051,113,4.639,0.879,1.313,0.477,0.401,0.07,122,4.571100235,0.920314121,0.846880972,0.675071793,0.767520964,-0.18530646,124,4.574,0.9161,0.818,0.56799,0.719,-0.149,124,4.459,1.292,0.877,0.354,0.354,0.354
Nepal,South Asia,107,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,101,4.88,0.425,1.228,0.539,0.526,0.302,100,4.913,0.446,1.226,0.677,0.439,0.285,92,5.137199879,0.792535734,0.785512447,0.535000954,0.797565043,0.154168829,87,5.269,0.812,0.774,0.64233,0.782,0.152,84,5.377,0.984,0.784,0.499,0.499,0.499
Netherlands,Western Europe,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,6,7.441,1.361,1.488,0.878,0.638,0.333,5,7.488,1.396,1.522,0.999,0.557,0.322,6,7.448900223,1.081271172,0.93913883,0.49861908,0.908547819,0.20761244,5,7.464,1.0932,0.942,0.724,0.913,0.175,5,7.415,1.945,1.206,0.787,0.787,0.787
New Zealand,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,8,7.324,1.268,1.601,0.876,0.669,0.365,8,7.307,1.303,1.557,1.026,0.585,0.33,8,7.299600124,1.050094318,0.949118972,0.737022247,0.936217487,0.191598073,9,7.277,1.0643,0.948,0.734,0.929,0.134,10,7.2,1.852,1.235,0.752,0.752,0.752
Nicaragua,Latin America and Caribbean,48,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982,41,6.141,0.668,1.319,0.7,0.527,0.208,45,6.105,0.694,1.325,0.835,0.435,0.2,46,6.13710022,0.849316025,0.857497036,0.732007828,0.863902867,0.020959141,55,5.972,0.862,0.864,0.67657,0.836,0.02,45,6.165,1.105,1.029,0.617,0.617,0.617
Niger,Sub-Saharan Africa,142,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,134,4.166,0.131,0.867,0.221,0.39,0.175,114,4.628,0.138,0.774,0.366,0.318,0.188,103,4.909599781,0.68421669,0.617435038,0.582531357,0.759772122,0.013860817,96,5.074,0.7098,0.641,0.5378,0.806,0.018,104,5.003,0.57,0.56,0.326,0.326,0.326
Nigeria,Sub-Saharan Africa,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,91,5.155,0.689,1.172,0.048,0.462,0.201,85,5.265,0.696,1.111,0.245,0.426,0.215,115,4.724100113,0.857662487,0.73721689,0.6225,0.759578407,0.033745807,116,4.759,0.8533,0.74,0.50102,0.737,0.037,118,4.552,1.079,0.732,0.3,0.3,0.3
North Macedonia,Central and Eastern Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5.274,0.983,1.294,0.838,0.345,0.185,0,0,0,0,0.696030121,0,0,94,5.536,1.0576,0.82,0.73898,0.795,0.012,79,5.467,1.815,0.888,0.819,0.819,0.819
North Cyprus,Western Europe,62,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,78,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,61,5.809999943,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,58,5.835,1.229,1.211,0.909,0.495,0.179,64,5.718,1.263,1.252,1.042,0.417,0.191,76,5.53550005,1.040570259,0.820356607,0.656399384,0.79529351,0.000227159,74,5.101,0.9693,0.805,0.65474,0.751,0.038,89,5.199,1.505,0.863,0.637,0.637,0.637
Norway,Western Europe,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,66,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,2,7.594,1.456,1.582,0.861,0.686,0.286,3,7.554,1.488,1.582,1.028,0.603,0.271,5,7.487999916,1.108780384,0.952486575,0.68100235,0.955750287,0.13453263,6,7.392,1.1053,0.954,0.733,0.96,0.093,8,7.365,1.997,1.239,0.786,0.786,0.786
Pakistan,South Asia,92,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,75,5.472,0.652,0.81,0.424,0.334,0.216,67,5.653,0.677,0.886,0.535,0.313,0.22,66,5.69329977,0.848272705,0.689062297,0.619267616,0.734833717,0.04489987,105,4.934,0.8458,0.651,0.58709,0.726,0.098,121,4.516,1.049,0.413,0.374,0.374,0.374
Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,103,4.775000095,0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,0.089282602,104,4.743,0.642,1.217,0.602,0.266,0.086,110,4.696,0.657,1.247,0.672,0.225,0.103,125,4.552800179,0.83892231,0.825295925,0.693111343,0.645791829,-0.162079096,125,4.517,0.8485,0.826,0.6225,0.653,-0.163,122,4.483,1.148,0.957,0.521,0.521,0.521
